"","p_value","morans_test_statistic","morans_I","q_value","pseudotime_module"
"278",4.91095109425404e-06,4.42105751931765,0.0356325761474103,0.000110602631566513,1
"279",2.77264230577248e-07,5.00641599440791,0.0405175593809877,7.72439492525605e-06,1
"280",0.803226577180596,-0.853202809516765,-0.00788318763434912,0.882091991816675,1
"281",0.341524821777955,0.408305170794764,0.00246731167154739,0.773246667964342,1
"282",0.177782679850137,0.923848192595675,0.00673605154723004,0.5552280471151,1
"283",0.586360867150014,-0.218193607341059,-0.00269438203682197,0.850919438863987,1
"284",0.181797985372244,0.90853435607125,0.00598269692398609,0.561784802207568,1
"285",0.179784901827448,0.916185129469299,-0.000683233364796204,0.558703890720807,1
"286",0.810096297432644,-0.87825121311327,-0.00778287955749249,0.885632697661273,1
"287",0.542405443414079,-0.106495641692266,-0.00150537288016762,0.850919438863987,1
"288",7.42774012039196e-81,19.0072440451799,0.156363041548152,5.41333699974166e-78,1
"289",0.381008016634624,0.302834443218419,0.00147629397572981,0.812184309609971,1
"290",0.86272715198776,-1.09265410864183,-0.00114285714285714,0.909131793477074,1
"291",0.636416272658305,-0.348895911525213,-0.00364056895586975,0.850919438863987,1
"292",0.736925033382147,-0.633894104636797,-0.00603085553866321,0.859161806011985,1
"293",0.593705313361631,-0.237086902176629,-0.00281939278269835,0.850919438863987,1
"294",0.258009696837368,0.649493581691704,0.00427592201957042,0.67688073093979,1
"295",0.956581136207685,-1.71231992034635,-0.0147981955673862,0.964690243829958,1
"296",0.00255609342377247,2.79987834814992,0.0172807877183304,0.0256312725267663,1
"297",NA,NA,NA,1,1
"298",NA,NA,NA,1,1
"299",NA,NA,NA,1,1
"300",0.711933994815427,-0.559043533094438,-0.00102076668181208,0.854745978547769,1
"301",0.519691875466555,-0.0493802727230331,-0.00129973790243455,0.850919438863987,1
"302",3.34019947962102e-12,6.86433010997145,0.0558889653846256,1.76914053833416e-10,1
"303",0.156613653601308,1.00847328353509,0.00736025095415167,0.517393439391203,1
"304",0.556111176102658,-0.141116830616638,-0.0020364463788608,0.850919438863987,1
"305",0.148667731883539,1.04216440282546,0.00767165630194837,0.500411246059133,1
"306",0.539627949141612,-0.0994964559049899,-0.00170743864994726,0.850919438863987,1
"307",0.243522595134127,0.695016134538489,0.00483690166856608,0.656455345960023,1
"308",0.544332132066621,-0.1113538738185,-0.00181176950015156,0.850919438863987,1
"309",0.195013264858263,0.859569253418824,0.00554093686195499,0.583489580204504,1
"310",1.5489372872961e-16,8.1694543193641,0.066672623040076,1.20092073934191e-14,1
"311",0.000557198120274451,3.25993022858018,0.0260473418393076,0.00731950234419646,1
"312",0.014340956389035,2.18783102888307,0.0170513288207814,0.102067275550085,1
"313",0.700124934308874,-0.524759870596609,-0.00516162772459093,0.852105666367925,1
"314",NA,NA,NA,1,1
"315",NA,NA,NA,1,1
"316",0.929539505706793,-1.47237000449344,-0.012846770207191,0.946421335232063,1
"317",0.862727151987772,-1.09265410864188,-0.00114285714285714,0.909131793477074,1
"318",0.56836259550826,-0.172206982072628,-0.00188312057770827,0.850919438863987,1
"319",0.390525063562632,0.277950799757285,0.0013836012721768,0.823156716579264,1
"320",NA,NA,NA,1,1
"321",0.701554111780768,-0.528875560929736,-0.00485174347466856,0.852105666367925,1
"322",0.00579703142991355,2.52426458933737,0.018069045119488,0.0499867073606365,1
"323",NA,NA,NA,1,1
"324",0.781213355370948,-0.776297600958611,-0.00730678356708536,0.874462918450165,1
"325",0.872814053018223,-1.13979457605324,-0.0102381670480139,0.915256896279968,1
"326",0.0013610426527699,2.99749476867848,0.0238887020194514,0.015213617873293,1
"327",0.000622016862819789,3.2285870913852,0.0257880179079598,0.00797547307570482,1
"328",0.401881245943229,0.248480711888604,0.00109400968560943,0.835424827632606,1
"329",0.212106072438308,0.799134986300932,0.00567436961924254,0.614497160093174,1
"330",0.874276039961273,-1.1468395983434,-0.0102613634420265,0.91570636464808,1
